college,display_name,collegeId,n_players,leagues,variant_1,variant_2,variant_3,variant_4,variant_5,variant_6
Louisville,Louisville,97,196,"nfl, nba, mlb",ul,,,,,
Loyola Chicago,Loyola Chicago,2350,1,nba,loyola chi,loyola,,,,
Loyola Maryland,Loyola Maryland,2352,1,nba,loyola,loyola md,,,,
Loyola Marymount,Loyola Marymount,2351,7,mlb,loyola,,,,,
Loyola New Orleans,Loyola New Orleans,100,1,nfl,loyola,loyola no,,,,
Luther,Luther,67,10,nfl,,,,,,
Lynchburg,Lynchburg,2355,3,nfl,,,,,,
Lynn University,Lynn University,2357,1,mlb,lynn,,,,,
MSU Denver,MSU Denver,2389,1,nfl,Metropolitan State University of Denver,Metropolitan st University of Denver,,,,
Maine,Maine,311,47,"nfl, nhl, mlb",,,,,,
Malone,Malone,556,2,nfl,,,,,,
Manatee CC (FL),Manatee CC (FL),110239,3,mlb,manatee,State College of Florida,Manatee–Sarasota,Manatee Sarasota,,
Manitoba,Manitoba,2770,3,nfl,,,,,,
Maple Woods Community,Maple Woods Community,3191,3,mlb,maple woods,,,,,
Marian (IN),Marian (IN),557,3,nfl,marian,,,,,
Marist,Marist,2368,4,"nfl, mlb",,,,,,
Marquette,Marquette,269,6,nba,,,,,,
Mars Hill,Mars Hill,2369,5,"nfl, nba",,,,,,
Marshall,Marshall,276,94,"nfl, nba, mlb",,,,,,
Mary Hardin-Baylor,Mary Hardin-Baylor,2371,4,"nfl, mlb",mary hardin baylor,,,,,
Maryland,Maryland,120,187,"nfl, nba, mlb",,,,,,
Massachusetts,Massachusetts,113,61,"nfl, nhl",umass,,,,,
Mayville State,Mayville State,561,1,mlb,mayville st,,,,,
McGill,McGill,34,1,nfl,,,,,,
McKendree,McKendree,2816,1,nfl,,,,,,
McLennan Community,McLennan Community,110248,3,mlb,mclennan,,,,,
McMurry,McMurry,241,1,nfl,,,,,,
McNeese,McNeese,2377,31,"nfl, nba, mlb",mcneese st,mcneese state,,,,
Memphis,Memphis,235,107,"nfl, nba, mlb",,,,,,
Menlo,Menlo,2381,4,"nfl, nba, mlb",,,,,,
Mercer,Mercer,2382,10,"nfl, mlb",,,,,,
Mercer Co. CC NJ,Mercer Co. CC NJ,110253,1,mlb,mercer,mercer college,,,,
Mercyhurst,Mercyhurst,2385,4,"nfl, mlb",,,,,,
Meridian CC (MS),Meridian CC (MS),110254,1,mlb,meridian,meridian cc,meridian community college,,,
Merrimack,Merrimack,2771,10,"nfl, nhl",,,,,,
Mesa State,Mesa State,110257,5,"nfl, mlb",,,,,,
Miami,Miami,2390,324,"nfl, nba, mlb",the u,miami fl,miami florida,,,
Miami (OH),Miami (OH),193,71,"nfl, nhl, mlb",miami oh,miami,miami university,miami of ohio,miami ohio,
Miami-Dade CC FL,Miami-Dade CC FL,110259,5,mlb,miami dade,miami dade community college,,,,
Michigan,Michigan,130,330,"nfl, nhl, nba, mlb",u of m,go blue,um,,,
Michigan State,Michigan State,127,218,"nfl, nhl, nba, mlb",msu,michigan st,sparty,mich state,mich st,
Michigan Tech,Michigan Tech,2392,8,"nfl, nhl",mi tech,,,,,
Middle Georgia State,Middle Georgia State,281,2,mlb,middle georgia st,,,,,
Middle Tennessee,Middle Tennessee,2393,42,"nfl, mlb",mtsu,middle tennessee,middle tennessee state,middle tennessee st,,
Midland University,Midland University,565,2,nfl,midland,,,,,
Midwestern State,Midwestern State,2395,6,nfl,midwestern st,midwestern,,,,
Millersville,Millersville,210,3,"nfl, mlb",,,,,,
Millikin,Millikin,74,1,nfl,,,,,,
Millsaps,Millsaps,2398,1,nfl,,,,,,
Milwaukee,Milwaukee,270,8,"nfl, nba, mlb",,,,,,
Minnesota,Minnesota,135,168,"nfl, nhl, nba, mlb",minny,,,,,
Minnesota Duluth,Minnesota Duluth,134,25,"nfl, nhl",,,,,,
Minnesota State,Minnesota State,2364,18,"nfl, nhl",minnesota st,,,,,
Minnesota State Moorhead,Minnesota State Moorhead,2817,4,"nfl, nhl",minnesota st,minnesota st moorhead,,,,
Minot State Universi,Minot State University,568,1,nfl,minot state university,minot state,minot st,,,
Mississippi College,Mississippi College,2401,2,nfl,,,,,,
Mississippi State,Mississippi State,344,200,"nfl, nba, mlb",Mississippi st,msu,,,,
Mississippi Valley State,Mississippi Valley State,2400,8,nfl,Mississippi valley st,,,,,
Missouri,Missouri,142,176,"nfl, nba, mlb",mizzou,,,,,
Missouri Baptist,Missouri Baptist,2880,1,mlb,mizzou baptist,,,,,
Missouri S&T,Missouri S&T,2402,3,nfl,mizzou s&t,,,,,
Missouri Southern State,Missouri Southern State,2403,6,nfl,missouri southern st,,,,,
Missouri State,Missouri State,2623,33,"nfl, nba, mlb",missouri st,,,,,
Missouri Valley,Missouri Valley,136,1,nfl,,,,,,
Missouri Western,Missouri Western,137,15,nfl,,,,,,
Monmouth,Monmouth,2405,18,"nfl, mlb",,,,,,
Monmouth (IL),Monmouth (IL),2919,1,nfl,monmouth,monmouth il,monmouth ill,monmouth illinois,,
Montana,Montana,149,42,nfl,,,,,,
Montana State,Montana State,147,26,nfl,montana st,,,,,
Montana Tech,Montana Tech,148,1,nfl,,,,,,
Montclair State,Montclair State,2818,3,nfl,montclair st,,,,,
Morehead State,Morehead State,2413,6,"nfl, nba, mlb",morehead st,,,,,
Morehouse,Morehouse,60,3,nfl,,,,,,
Morgan State,Morgan State,2415,12,nfl,morgan st,,,,,
Morningside,Morningside,2416,2,nfl,,,,,,
Morris Brown,Morris Brown,2417,1,nfl,,,,,,
Morris College,Morris College,571,1,nfl,morris,,,,,
Mount Marty College,Mount Marty College,573,1,nfl,mount marty,mt marty,mt marty college,,,
Mount Olive,Mount Olive,2418,1,mlb,mt olive,,,,,
Mount Saint Clare Co,Mount Saint Clare College,575,1,nfl,mt saint clare college,mount saint clare college,mount saint clare,mt st clare college,mt st clare,
Mount San Antonio Coll. CA (J.C.),Mount San Antonio Coll. CA (J.C.),110282,1,mlb,mt san antonio,mount san antonio,,,,
Mount St. Joseph,Mount St. Joseph,2419,1,nfl,mount st joes,mount saint joseph,,,,
Mount Union,Mount Union,426,8,nfl,,,,,,
Mount Vernon Nazarene,Mount Vernon Nazarene,576,1,nfl,mount vernon,,,,,
Mountain State,Mountain State,577,1,nfl,mountain st,,,,,
Murray State,Murray State,93,20,"nfl, nba",murray st,,,,,
NC State,NC State,152,192,"nfl, nba, mlb",north carolina state,north carolina st,,,,
NJIT,NJIT,2885,1,mlb,New Jersey Institute of Technology,,,,,
NYIT,NYIT,445,1,nfl,New York Institute of Technology,,,,,
NYU,NYU,176,10,nfl,new york university,,,,,
Navarro Coll. TX (J.C.),Navarro Coll. TX (J.C.),110287,1,mlb,navarro,navarro college,,,,
Navy,Navy,2426,16,"nfl, mlb",,,,,,
Nazareth College,Nazareth College,334,3,nfl,nazareth,,,,,
Nebraska,Nebraska,158,234,"nfl, nba, mlb",,,,,,
Nebraska-Kearney,Nebraska-Kearney,2438,5,nfl,nebraska kearney,,,,,
Neosho County CC KS,Neosho County CC KS,110292,2,mlb,neosho county,neosho,,,,
Nevada,Nevada,2440,83,"nfl, nba, mlb",,,,,,
New Hampshire,New Hampshire,160,28,"nfl, nhl",nh,,,,,
New Haven,New Haven,2441,6,"nfl, mlb",,,,,,
New Mexico,New Mexico,167,49,"nfl, mlb",nmu,,,,,
New Mexico Highlands,New Mexico Highlands,2424,3,nfl,,,,,,
New Mexico Junior College,New Mexico Junior College,110293,1,mlb,new mexico jr college,,,,,
New Mexico State,New Mexico State,166,41,"nfl, nba, mlb",nm state,nm st,new mexico st,,,
New Orleans,New Orleans,2443,1,mlb,nola,,,,,
Newberry,Newberry,2444,8,nfl,,,,,,
Niagara,Niagara,315,3,mlb,,,,,,
Nicholls,Nicholls,2447,15,"nfl, mlb",,,,,,
Norfolk State,Norfolk State,2450,9,"nfl, mlb",norfolk st,,,,,
North Alabama,North Alabama,2453,18,nfl,n alabama,,,,,
North Carolina,North Carolina,153,256,"nfl, nba, mlb",unc,,,,,
North Carolina A&T,North Carolina A&T,2448,28,nfl,north carolina at,unc a&t,,,,
North Carolina Central,North Carolina Central,2428,17,nfl,unc central,,,,,
North Carolina-Charlotte,North Carolina-Charlotte,110300,2,"nfl, mlb",unc charlotte,,,,,
North Central,North Central,3071,2,nfl,,,,,,
North Dakota,North Dakota,155,42,"nfl, nhl, mlb",nd,,,,,
North Dakota State,North Dakota State,2449,59,"nfl, mlb",ndsu,,,,,
North Florida,North Florida,2454,4,mlb,,,,,,
North Greenville,North Greenville,2822,2,"nfl, mlb",,,,,,
North Park,North Park,75,1,nfl,,,,,,
North Texas,North Texas,249,36,nfl,,,,,,
Northeast Mississippi CC,Northeast Mississippi CC,110307,1,nfl,northeast mississippi,,,,,
Northeastern,Northeastern,111,38,"nfl, nhl, mlb",,,,,,
Northeastern JC CO,Northeastern JC CO,110309,1,mlb,northeastern junior college,,,,,
Northeastern Oklahoma A&M (J.C.),Northeastern Oklahoma A&M (J.C.),110310,2,mlb,northeastern oklahoma,,,,,
Northeastern State,Northeastern State,196,3,"nfl, mlb",Northeastern St,,,,,
Northern Arizona,Northern Arizona,2464,29,nfl,n arizona,north arizona,,,,
Northern Colorado,Northern Colorado,2458,19,nfl,n colorado,north colorado,,,,
Northern Illinois,Northern Illinois,2459,66,"nfl, mlb",n illinois,north illinois,,,,
Northern Iowa,Northern Iowa,2460,47,"nfl, nba",n colorado,north iowa,uni,,,
Northern Kentucky,Northern Kentucky,94,2,"nfl, mlb",n colorado,north kentucky,,,,
Northern Michigan,Northern Michigan,128,9,"nfl, nhl",n colorado,north michigan,,,,
Northern State,Northern State,425,1,nfl,n colorado,north st,northern st,,,
Northwest Mississippi CC,Northwest Mississippi CC,110314,1,mlb,n colorado,northwest miss,northwestern mississippi,,,
Northwest Missouri State,Northwest Missouri State,138,20,nfl,n colorado,northwestern missouri st,,,,
Northwestern,Northwestern,77,111,"nfl, nba, mlb",nw,,,,,
Northwestern College (IA),Northwestern College (IA),2471,1,nfl,Northwestern college,Northwestern,,,,
Northwestern Ohio,Northwestern Ohio,3250,1,mlb,Northwestern,Northwestern oh,,,,
Northwestern Oklahoma State,Northwestern Oklahoma State,2823,4,nfl,Northwestern oklahoma st,Northwestern ok st,Northwestern ok state,,,
Northwestern State,Northwestern State,2466,23,"nfl, mlb",northwestern st,,,,,
Northwood (MI),Northwood (MI),2886,2,nfl,northwood,northwood university,northwood mi,,,
Notre Dame,Notre Dame,87,320,"nfl, nhl, nba, mlb",nd,,,,,
Notre Dame College,Notre Dame College,586,1,nfl,nd college,,,,,
Notre Dame College (OH),Notre Dame College (OH),587,2,nfl,nd college oh,nd college ohio,,,,
Nova Southeastern,Nova Southeastern,2470,5,mlb,nova se,,,,,
Oakland,Oakland,2473,2,"nba, mlb",ou,oakland u,oakland university,,,
Oberlin,Oberlin,391,1,nfl,,,,,,
Ohio,Ohio,195,40,"nfl, nba, mlb",ou,ohio u,ohio university,,,
Ohio Dominican,Ohio Dominican,2477,1,nfl,,,,,,
Ohio Northern,Ohio Northern,427,3,nfl,,,,,,
Ohio State,Ohio State,194,340,"nfl, nhl, nba, mlb",ohio st,osu,THE,,,
Ohio Wesleyan,Ohio Wesleyan,2980,1,nfl,,,,,,
Okaloosa-Walton CC FL (J.C.),Okaloosa-Walton CC FL (J.C.),110320,1,mlb,okaloosa,okaloosa walton,,,,
Oklahoma,Oklahoma,201,266,"nfl, nba, mlb",ou,,,,,
Oklahoma Baptist,Oklahoma Baptist,319,3,"nfl, mlb",ok baptist,,,,,
Oklahoma City,Oklahoma City,2481,1,mlb,ok city,,,,,
Oklahoma State,Oklahoma State,197,177,"nfl, nba, mlb",ok state,ok st,oklahoma st,,,
Old Dominion,Old Dominion,295,37,"nfl, mlb",odu,,,,,
Ole Miss,Ole Miss,145,189,"nfl, nba, mlb",mississippi,,,,,
Olivet Nazarene,Olivet Nazarene,2922,1,mlb,olivet,nazarene,,,,
Omaha,Omaha,2437,18,"nfl, nhl, mlb",,,,,,
Oral Roberts,Oral Roberts,198,7,mlb,,,,,,
Orange Coast Coll. CA (J.C.),Orange Coast Coll. CA (J.C.),110327,2,mlb,orange coast college,orange coast,,,,
Oregon,Oregon,2483,253,"nfl, nba, mlb",,,,,,
Oregon State,Oregon State,204,161,"nfl, nba, mlb",oregon st,,,,,
Oregon Tech,Oregon Tech,2484,2,nfl,ore,,,,,
Ottawa,Ottawa,2775,3,nfl,,,,,,
Ouachita Baptist,Ouachita Baptist,2888,3,nfl,,,,,,
Pace,Pace,2487,1,nfl,pace university,,,,,
Pacific,Pacific,279,6,"nfl, mlb",,,,,,
Pacific Union Colleg,Pacific Union College,594,1,nfl,pacific union college,pacific union,,,,
Palm Beach Atlantic,Palm Beach Atlantic,2489,1,mlb,palm beach,,,,,
Palomar Coll. CA (J.C.),Palomar Coll. CA (J.C.),110334,1,nfl,palomar college,palomar,,,,
Parkland College,Parkland College,110337,2,mlb,parkland,,,,,
Pearl River,Pearl River,110341,1,mlb,,,,,,
Penn State,Penn State,213,269,"nfl, nhl, nba, mlb",penn st,psu,,,,
Pennsylvania,Pennsylvania,219,6,nfl,penn,upenn,,,,
Pepperdine,Pepperdine,2492,10,"nba, mlb",,,,,,
Peru State College,Peru State College,596,1,nfl,peru st,peru st college,,,,
Pittsburg State,Pittsburg State,90,60,nfl,pittsburgh st,,,,,
Pittsburgh,Pittsburgh,221,192,"nfl, nba, mlb",pitt,,,,,
Portland,Portland,2501,3,mlb,,,,,,
Portland State,Portland State,2502,36,nfl,portland st,,,,,
Prairie View A&M,Prairie View A&M,2504,10,nfl,Prairie View am,,,,,
Presbyterian,Presbyterian,2506,3,"nfl, mlb",,,,,,
Princeton,Princeton,163,27,"nfl, nhl, nba, mlb",,,,,,
Providence,Providence,2507,17,"nhl, nba",,,,,,
Purdue,Purdue,2509,155,"nfl, nba, mlb",,,,,,
Purdue Fort Wayne,Purdue Fort Wayne,2870,1,nba,,,,,,
Queen's,Queen's,2956,1,nfl,queens,queen,,,,
Queens University,Queens University,2511,1,mlb,queens,queen,queens u,,,
Quincy,Quincy,2825,3,"nfl, mlb",,,,,,
Quinnipiac,Quinnipiac,2514,16,"nhl, mlb",,,,,,
RIT,RIT,178,1,nhl,Rochester Institute of Technology,,,,,
Radford,Radford,2515,7,"nba, mlb",,,,,,
Randolph-Macon,Randolph-Macon,2516,1,nfl,randolph macon,,,,,
Redlands,Redlands,29,2,"nfl, mlb",,,,,,
Reedley College,Reedley College,110358,1,mlb,reedley,,,,,
Regina (Canada),Regina (Canada),110359,3,nfl,regina,regina canada,,,,
Regis Univ,Regis University,2518,1,mlb,regis,regis university,,,,
Rensselaer,Rensselaer,2528,1,nfl,,,,,,
Rhode Island,Rhode Island,227,16,"nfl, nba, mlb",ri,,,,,
Rhodes,Rhodes,2519,1,nfl,,,,,,
Rice,Rice,242,60,"nfl, mlb",,,,,,
Richland,Richland,243,12,nfl,,,,,,
Richmond,Richmond,257,33,"nfl, mlb",,,,,,
Rider,Rider,2520,1,nba,,,,,,
Riverside Community,Riverside Community,3116,1,mlb,riverside,,,,,
Robert Morris,Robert Morris,2523,7,nfl,,,,,,
Robert Morris (IL),Robert Morris (IL),599,1,nfl,robert morris,robert morris il,robert morris illinois,,,
Rocky Mountain,Rocky Mountain,2826,1,nfl,,,,,,
Rowan,Rowan,2827,1,nfl,,,,,,
Rutgers,Rutgers,164,142,"nfl, nba, mlb",,,,,,
SE Louisiana,SE Louisiana,2545,24,"nfl, mlb",southeast lousiana,,,,,
SIU Edwardsville,SIU Edwardsville,2565,1,mlb,Southern Illinois University Edwardsville,,,,,
SMU,SMU,2567,73,"nfl, nba",southern methodist,southern methodist university,,,,
Sacramento State,Sacramento State,16,28,"nfl, mlb",sac st,sac state,sacramento st,,,
Sacred Heart,Sacred Heart,2529,5,"nfl, mlb",,,,,,
Saginaw Valley State,Saginaw Valley State,129,8,nfl,svsu,saginaw valley st,,,,
Saint Augustine's,Saint Augustine's,395,2,nfl,saint augustines,saint augustine,st augustines,st augustine,,
Saint Francis,Saint Francis,2598,2,nfl,st francis,,,,,
Saint John's (MN),Saint John's (MN),2600,1,nfl,st johns,st johns minnesota,saint johns university,,,
Saint Joseph's,Saint Joseph's,2603,5,"nba, mlb",st josephs,st joes,,,,
Saint Louis,Saint Louis,139,7,"nba, mlb",st louis,,,,,
Saint Mary's,Saint Mary's,2608,9,"nba, mlb",st marys,,,,,
Saint Mary's College (IN),Saint Mary's College (IN),449,4,mlb,st marys,st marys college,,,,
Saint Petersburg FL (J.C.),Saint Petersburg FL (J.C.),110374,3,mlb,st petersburg,st petersburg fl,st petersburg florida,,,
Salem University,Salem University,467,1,nfl,,,,,,
Salt Lake,Salt Lake,110375,1,mlb,,,,,,
Sam Houston,Sam Houston,2534,38,"nfl, mlb",sam houston state,sam houston st,,,,
Samford,Samford,2535,28,"nfl, mlb",,,,,,
San Diego,San Diego,301,26,"nfl, mlb",sd,,,,,
San Diego State,San Diego State,21,153,"nfl, nba, mlb",sdsu,san diego st,,,,
San Francisco,San Francisco,2539,7,"nba, mlb",sf,san fran,,,,
San Jacinto,San Jacinto,110378,9,mlb,,,,,,
San Joaquin Delta Coll. CA (J.C.),San Joaquin Delta Coll. CA (J.C.),110379,1,mlb,san joaquin delta,san joaquin delta college,,,,
San José State,San Jose State,23,76,"nfl, mlb",san jose st,,,,,
Santa Clara,Santa Clara,2541,10,"nfl, nba, mlb",,,,,,
Santa Fe CC FL (J.C.),Santa Fe CC FL (J.C.),110383,2,mlb,santa fe,santa fe community college,,,,
Savannah State,Savannah State,2542,3,"nfl, mlb",savannah st,,,,,
Science and Arts (OK),Science and Arts (OK),608,3,nfl,science & arts,oklahoma science and arts,oklahoma science & arts,,,
Scottsdale CC AZ,Scottsdale CC AZ,110387,1,mlb,scottsdale,scottsdale community college,,,,
Seattle U,Seattle U,2547,3,"nfl, mlb",seattle,,,,,
Seattle University,Seattle University,610,1,nfl,seattle,,,,,
Seminole State (FL),Seminole State (FL),110388,2,mlb,seminole st,seminole st fl,,,,
Seminole State (OK),Seminole State (OK),110389,1,mlb,seminole st,seminole st ok,,,,
Seton Hall,Seton Hall,2550,5,"nba, mlb",,,,,,
Seton Hill,Seton Hill,611,1,nfl,,,,,,
Shaw,Shaw,2551,1,nfl,,,,,,
Shenandoah,Shenandoah,2828,1,nfl,,,,,,
Shepherd,Shepherd,2974,10,nfl,,,,,,
Shippensburg,Shippensburg,2559,5,nfl,,,,,,
Siena,Siena,2561,3,"nba, mlb",,,,,,
Simon Fraser,Simon Fraser,2829,2,nfl,,,,,,
Sioux Falls,Sioux Falls,2894,4,nfl,,,,,,
Slippery Rock,Slippery Rock,215,10,"nfl, mlb",slippery,,,,,
Sonoma State,Sonoma State,2574,3,"nfl, mlb",sonoma st,,,,,
South Alabama,South Alabama,6,34,"nfl, mlb",s alabama,southern alabama,,,,
South Carolina,South Carolina,2579,217,"nfl, nba, mlb",sc,so car,south car,,,
South Carolina State,South Carolina State,2569,37,nfl,south carolina st,sc state,so car st,so car state,,
South Carolina Upstate,South Carolina Upstate,2908,3,"nba, mlb",sc upstate,,,,,
South Dakota,South Dakota,233,23,nfl,sd,,,,,
South Dakota Mines,South Dakota Mines,613,2,nfl,sd mines,,,,,
South Dakota State,South Dakota State,2571,41,"nfl, mlb",sdsu,south dakota st,,,,
South Florida,South Florida,58,87,"nfl, mlb",usf,,,,,
South Georgia State College,South Georgia State College,110520,1,mlb,south georgia st college,south georgia st,south georgia state,,,
Southeast Missouri State,Southeast Missouri State,2546,24,"nfl, mlb",se missouri st,se missouri state,,,,
Southeastern Oklahoma,Southeastern Oklahoma,199,4,"nfl, mlb",se oklahoma,se ok,,,,
Southern,Southern,2582,17,"nfl, mlb",,,,,,
Southern Arkansas,Southern Arkansas,2568,5,nfl,s arkansas,south arkansas,southern ark,so car state,,
Southern Connecticut State,Southern Connecticut State,2583,6,nfl,southern connecticut st,south conn st,south connecticut state,sc state,,
Southern Illinois,Southern Illinois,79,28,"nfl, mlb",southern ill,south illinois,,,,
Southern Miss,Southern Miss,2572,100,"nfl, mlb",southern mississippi,s miss,,,,
Southern Nazarene,Southern Nazarene,200,1,nfl,south nazarene,s nazarene,,,,
Southern Nevada,Southern Nevada,3258,6,mlb,south nevada,s nevada,,,,
Southern New Hampshi,Southern New Hampshire,335,1,mlb,southern new hampshire,s new hampshire,south new hampshire,south nh,southern nh,
Southern Oregon,Southern Oregon,2584,2,nfl,south oregon,s oregon,,,,
Southern Utah,Southern Utah,253,18,"nfl, nba",s utah,south utah,,,,
Southwest Mississippi CC,Southwest Mississippi CC,110413,1,mlb,sw miss cc,sw miss,southwest miss,,,
Southwestern Oklahoma,Southwestern Oklahoma,2927,3,nfl,sw okla,sw oklahoma,southwest ok,southwest oklahoma,,
Southwestern University,Southwestern University,2588,1,mlb,sw u,sw university,,,,
Spartanburg Methodist,Spartanburg Methodist,3203,1,mlb,spartanburg,,,,,
St. Andrews,St. Andrews,2592,1,nhl,st andrews,saint andrews,st andrew,saint andrew,,
St. Bonaventure,St. Bonaventure,179,2,mlb,st bonaventure,saint bonaventure,,,,
St. Clair County Community,St. Clair County Community,110419,1,mlb,st clair cc,saint clair cc,st clair,saint clair,,
St. Cloud State,St. Cloud State,2594,21,"nfl, nhl",st cloud,saint cloud,st cloud st,saint cloud st,,
St. John Fisher,St. John Fisher,374,2,"nfl, mlb",st john,st john fisher,john fisher,st johns,,
St. John's,St. John's,2599,14,"nba, mlb",st johns,st john,sj,sju,,
St. John's River State CC,St. John's River State CC,3180,1,mlb,st johns,st john,st johns river st,st johns river state,,
St. Lawrence,St. Lawrence,2779,1,nhl,st lawrence,saint lawrence,,,,
St. Paul's College,St. Paul's College,2611,1,nfl,st pauls,st paul,saint pauls college,,,
St. Thomas-Minnesota,St. Thomas-Minnesota,2900,2,nfl,st thomas,st thomas minnesota,saint thomas minnesota,,,
Stanford,Stanford,24,212,"nfl, nba, mlb",cardinal,,,,,
State College of Florida,State College of Florida,110720,1,mlb,st college florida,st college of florida,college of florida,,,
Stephen F. Austin,Stephen F. Austin,2617,22,"nfl, nba, mlb",sfa,stephen f austin,stephen austin,s f austin,,
Stetson,Stetson,56,10,"nfl, mlb",,,,,,
Stillman,Stillman,2948,5,nfl,,,,,,
Stony Brook,Stony Brook,2619,19,"nfl, mlb",stony,,,,,
Swarthmore,Swarthmore,217,16,nfl,,,,,,
Syracuse,Syracuse,183,159,"nfl, nba",cuse,,,,,
TCU,TCU,2628,175,"nfl, nba, mlb",texas christian,texas christian university,,,,
Tabor College,Tabor College,619,1,nfl,tabor,,,,,
Tallahassee CC FL,Tallahassee CC FL,110434,2,mlb,tallahassee,tallahassee cc,tallahassee community college,,,
Tampa,Tampa,2626,2,mlb,,,,,,
Tarleton State,Tarleton State,2627,16,nfl,tarleton,tarleton st,,,,
Taylor,Taylor,620,1,nfl,,,,,,
Temple,Temple,218,101,nfl,,,,,,
Tennessee,Tennessee,2633,282,"nfl, nba, mlb",ut,utk,ut knoxville,tenn,,
Tennessee State,Tennessee State,2634,35,nfl,ut st,ut state,tenn st,tenn state,tennessee st,
Tennessee Tech,Tennessee Tech,2635,9,"nfl, mlb",ut tech,tenn tech,,,,
Texas,Texas,251,257,"nfl, nba, mlb",ut,hook em,longhorns,,,
Texas A&M,Texas A&M,245,254,"nfl, nba, mlb",texas am,texas a and m,tamu,,,
Texas A&M-Kingsville,Texas A&M-Kingsville,2658,7,nfl,tamuk,texas am kingsville,Texas A&M Kingsville,kingsville,a&m,
Texas Southern,Texas Southern,2640,14,nfl,ut southern,,,,,
Texas State,Texas State,326,38,"nfl, mlb",ut st,ut state,texas st,tex st,tex state,
Texas Tech,Texas Tech,2641,135,"nfl, nba, mlb",ttu,tex tech,,,,
Texas-Pan American,Texas-Pan American,110439,1,mlb,texas rio grande,rio grande,utrgv,pan american,texas pan american,texans pan am
The Citadel,The Citadel,2643,14,"nfl, mlb",citadel,,,,,
The Master's,The Master's,2375,1,mlb,masters,the masters,,,,
Tiffin,Tiffin,2838,3,nfl,tiffin university,tiffin u,tu,,,
Tiffin University,Tiffin University,625,4,nfl,tiffin,tiffin u,tu,,,
Toledo,Toledo,2649,86,"nfl, nba, mlb",toledo u,,,,,
Towson,Towson,119,19,"nfl, mlb",,,,,,
Trinity Christian,Trinity Christian,2652,1,nfl,trinity,,,,,
Trinity International,Trinity International,2907,1,nfl,trinity,,,,,
Troy,Troy,2653,63,"nfl, mlb",,,,,,
Truman State,Truman State,2654,2,nfl,truman st,truman,,,,
Tulane,Tulane,2655,102,"nfl, mlb",tulane,tulane university,green wave,,,
Tulsa,Tulsa,202,47,nfl,,,,,,
Tusculum,Tusculum,2839,5,"nfl, mlb",,,,,,
Tuskegee,Tuskegee,2657,6,nfl,,,,,,
U Regina ca,University of Regina,3257,3,nfl,u regina ca,regina,regina college,,,
UAB,UAB,5,52,"nfl, nba, mlb",university of alabama birmingham,university of alabama at birmingham,,,,
UAlbany,UAlbany,399,18,"nfl, mlb",albany,university of albany,albany u,,,
UC Davis,UC Davis,302,14,"nfl, mlb",ucd,university of california davis,california davis,cal davis,,
UC Irvine,UC Irvine,300,9,"nfl, mlb",uci,university of california irvine,california irvine,cal irvine,,
UC Riverside,UC Riverside,27,7,"nba, mlb",ucr,university of california riverside,california riverside,cal riverside,,
UC San Diego,UC San Diego,28,2,"nba, mlb",ucsd,university of california san diego,california san diego,cal san diego,,
UC Santa Barbara,UC Santa Barbara,2540,24,"nba, mlb",ucsb,university of california santa barbara,california santa barbara,cal santa barbara,santa barbara,
UCF,UCF,2116,127,"nfl, nba, mlb",central florida,university of central florida,,,,
UCLA,UCLA,26,268,"nfl, nba, mlb",university of california los angeles,cal los angeles,california los angeles,,,
UConn,UConn,41,104,"nfl, nhl, nba, mlb",connecticut,conn,,,,
UIC,UIC,82,2,mlb,university of illnois chicago,illinois chicago,chicago,,,
UL Monroe,UL Monroe,2433,30,"nfl, mlb",ulm,lousiana monroe,,,,
UMBC,UMBC,2378,1,mlb,university of maryland baltimore county,maryland baltimore,,,,
UMass Lowell,UMass Lowell,2349,9,"nhl, mlb",uml,lowell,umass,,,
UNC Greensboro,UNC Greensboro,2430,4,mlb,nc greensboro,greensboro,north carolina greensboro,,,
UNC Pembroke,UNC Pembroke,2882,2,nfl,nc pembroke,north carolina pembroke,pembroke,,,
UNC Wilmington,UNC Wilmington,350,10,"nba, mlb",uncw,north carolina wilmington,nc wilmington,wilmington,,
UNLV,UNLV,2439,57,"nfl, nba, mlb",university of nevada las vegas,las vegas nevada,las vegas,vegas,rebels,
USC,USC,30,317,"nfl, nba, mlb",southern cal,southern california,trojans,,,
UT Arlington,UT Arlington,250,7,"nfl, mlb",uta,texas arlington,arlington,,,
UT Martin,UT Martin,2630,16,"nfl, mlb",utm,texas martin,,,,
UT Rio Grande Valley,UT Rio Grande Valley,292,3,mlb,texas rio grande,rio grande,utrgv,pan american,texas pan american,texans pan am
UTEP,UTEP,2638,51,nfl,texas el paso,texas at el paso,el paso,university of texas el paso,The University of Texas at El Paso,
UTSA,UTSA,2636,34,"nfl, mlb",university of texas at san antonio,university of texas san antonio,texas san antonio,san antonio,,
Union,Union,2785,5,nhl,,,,,,
Union (KY),Union (KY),2841,1,nfl,union,union ky,union kentucky,,,
University of Califo,University of California,498,9,nfl,,,,,,
University of Dubuqu,University of Dubuque,49,2,nfl,dubuque,u dubuque,,,,
University of Great Falls,University of Great Falls,531,2,nfl,great falls,,,,,
University of Laval,University of Laval,549,1,nfl,laval,,,,,
University of Maine,University of Maine,553,1,nfl,maine,,,,,
University of Pikeville,University of Pikeville,95,1,nfl,pikeville,,,,,
