college,display_name,collegeId,n_players,leagues,variant_1,variant_2,variant_3,variant_4,variant_5,variant_6
Cal State Northridge,Cal State Northridge,2463,6,"nfl, mlb",cal st,cal state,california state,california st,cal st northridge,
Cal State San Bernardino,Cal State San Bernardino,110043,1,mlb,cal st,cal state,california state,california st,cal st san bernardino,
Calgary,Calgary,2935,3,nfl,,,,,,
California,California,25,200,"nfl, nba, mlb",cal,,,,,
California (PA),California (PA),2858,12,nfl,cal pa,cal,california,,,
California Baptist,California Baptist,2856,2,nba,cal baptist,,,,,
California State Uni,California State Uni,499,11,nfl,cal state university,cal state,california state,,,
California State Uni,California State Uni,501,3,nfl,cal state university,cal state,california state,,,
Calumet College of St. Joseph,Calumet College of St. Joseph,502,1,nfl,calumet,calumet st joes,calumet st joseph,calumet college,,
Cameron,Cameron,2096,2,nfl,,,,,,
Campbell,Campbell,2097,17,"nfl, mlb",,,,,,
Canisius,Canisius,2099,4,"nfl, nhl, mlb",,,,,,
Carnegie Mellon,Carnegie Mellon,2102,1,nfl,,,,,,
Carroll (MT),Carroll (MT),2104,2,nfl,carroll,,,,,
Carson-Newman,Carson-Newman,2105,17,"nfl, mlb",carson newman,,,,,
Catawba,Catawba,2107,3,"nfl, mlb",,,,,,
Cedar Crest,Cedar Crest,321,1,nfl,,,,,,
Centenary (LA),Centenary (LA),2113,2,mlb,centenary,,,,,
Central Arkansas,Central Arkansas,2110,22,"nfl, mlb",cent arkansas,central ark,c arkansas,,,
Central Connecticut,Central Connecticut,2115,6,nfl,cent connecticut,central conn,,,,
Central Florida CC,Central Florida CC,110053,1,mlb,central florida,,,,,
Central Michigan,Central Michigan,2117,63,"nfl, mlb",central michigan,cmu,chips,,,
Central Missouri State,Central Missouri State,2118,12,"nfl, mlb",central miss state,central miss st,c missouri st,Central Missouri st,,
Central Oklahoma,Central Oklahoma,2122,10,"nfl, mlb",c oklahoma,central ok,,,,
Central State,Central State,2119,3,nfl,central st,,,,,
Central Washington,Central Washington,2120,3,nfl,central wash,c washington,,,,
Chadron State,Chadron State,2123,3,nfl,chadron st,chadron,,,,
Chapman,Chapman,411,2,nfl,,,,,,
Charleston,Charleston,110059,7,mlb,,,,,,
Charleston (WV),Charleston (WV),2128,6,nfl,charleston,charleston wv,charleston west virginia,,,
Charleston Southern,Charleston Southern,2127,6,"nfl, mlb",charleston southern,char southern,char south,,,
Charlotte,Charlotte,2429,20,"nfl, mlb",,,,,,
Chattahoochee Valley CC,Chattahoochee Valley CC,110060,1,nfl,Chattahoochee,Chattahoochee valley,,,,
Chattanooga,Chattanooga,236,25,"nfl, nba",nooga,,,,,
Chemeketa CC OR,Chemeketa CC OR,110062,1,mlb,Chemeketa,Chemeketa CC,Chemeketa CC Oregon,,,
Cheyney (PA),Cheyney (PA),2129,2,nfl,cheyney,cheyney pennsylvania,cheyney pa,,,
Chipola,Chipola,110501,4,mlb,,,,,,
Chowan,Chowan,2804,1,nfl,,,,,,
Christian Heritage C,Christian Heritage C,503,12,nfl,christian heritage,christian heritage college,,,,
Cincinnati,Cincinnati,2132,145,"nfl, nba, mlb",uc,cincy,,,,
Cisco JC TX,Cisco JC TX,110063,1,mlb,cisco college,cisco,,,,
Citrus Coll. CA (J.C.),Citrus Coll. CA (J.C.),110064,1,mlb,citrus,citrus college,,,,
Clarion,Clarion,2134,2,nfl,,,,,,
Clark Atlanta,Clark Atlanta,2805,2,nfl,clark,,,,,
Clarkson,Clarkson,2137,5,nhl,,,,,,
Clemson,Clemson,228,239,"nfl, nba, mlb",clemson university,,,,,
Cleveland State,Cleveland State,325,1,nba,cleveland st,,,,,
Cleveland State CC TN,Cleveland State CC TN,110068,1,mlb,cleveland st,,,,,
Cloud Co. CC (KS),Cloud Co. CC (KS),110070,1,mlb,cloud,cloud county,cloud county community college,cccc,,
Coastal Carolina,Coastal Carolina,324,49,"nfl, mlb",cc,coastal car,coastal,,,
Coe,Coe,2141,1,nfl,coe college,,,,,
Colgate,Colgate,2142,10,"nfl, nhl",,,,,,
College of Idaho,College of Idaho,3159,1,mlb,idaho,,,,,
Colorado,Colorado,38,154,"nfl, nba",buffs,cu,boulder,cu boulder,colorado boulder,colorado at boulder
Colorado College,Colorado College,2144,4,nhl,colorado,,,,,
Colorado Mesa,Colorado Mesa,11,2,mlb,colorado,,,,,
Colorado State,Colorado State,36,83,"nfl, nba",colorado st,,,,,
Colorado State-Pueblo,Colorado State-Pueblo,2570,11,"nfl, mlb",colorado state,colorado st,colorado state pueblo,colorado st pueblo,,
